Index,Resolution,Oranges,Preprocess,Inference,Postprocess
55,384x640,13,3.9,511.7,1.9
56,384x640,13,4.6,592.5,2.9
57,384x640,13,3.7,548.4,2.6
58,384x640,13,3.3,487.0,2.2
59,384x640,13,2.9,538.8,1.6
60,384x640,13,3.8,644.0,1.8
61,384x640,13,3.2,628.4,1.9
62,384x640,13,2.9,490.2,1.8
63,384x640,13,4.9,578.3,2.2
64,384x640,13,7.3,604.6,2.8
65,384x640,13,3.3,628.3,2.2
66,384x640,13,3.3,537.0,1.9
67,384x640,13,3.4,599.4,2.4
68,384x640,13,3.1,586.7,2.2
69,384x640,13,4.3,724.6,3.2
70,384x640,13,3.8,678.2,10.5
71,384x640,13,4.2,602.0,2.1
72,384x640,13,2.7,677.3,2.8
73,384x640,13,10.8,697.7,1.7
74,384x640,13,4.8,699.3,2.0
75,384x640,13,2.6,615.5,15.7
76,384x640,13,2.5,1371.0,7.2
77,384x640,13,4.5,681.9,2.2
78,384x640,13,4.7,611.0,1.8
79,384x640,13,6.5,633.8,2.0
80,384x640,13,3.7,590.7,9.3
81,384x640,13,3.2,539.9,1.7
82,384x640,13,3.8,576.1,1.8
83,384x640,13,3.2,530.8,1.9
84,384x640,13,3.7,558.4,2.0
85,384x640,13,3.8,629.0,1.8
86,384x640,13,3.0,635.5,2.5
87,384x640,13,4.7,607.3,3.0
88,384x640,13,2.9,509.8,2.2
89,384x640,13,4.3,517.7,2.2
90,384x640,13,3.0,612.2,4.1
91,384x640,13,4.2,553.6,1.9
92,384x640,13,10.2,660.7,2.5
93,384x640,13,14.6,671.1,2.6
94,384x640,13,5.9,568.0,2.3
95,384x640,13,3.1,522.2,1.9
96,384x640,13,3.8,567.6,1.7
97,384x640,13,5.2,539.8,2.8
98,384x640,13,3.9,513.7,1.7
99,384x640,13,3.3,561.7,2.9
100,384x640,14,3.5,505.7,1.5
